inning,inning_side,bases,outs,-4,-3,-2,-1,0,1,2,3,4
4,bottom,010,1,1.1,1.3,1.5,1.6,1.4,1.2,0.9,0.6,0.4
4,bottom,001,1,1,1.3,1.6,1.7,1.6,1.3,1,0.7,0.5
4,bottom,110,1,1.8,2.2,2.5,2.5,2.2,1.8,1.3,0.9,0.6
4,bottom,101,1,1.7,2,2.2,2.3,2.1,1.7,1.3,0.9,0.6
4,bottom,011,1,1.6,1.8,2,1.9,1.7,1.4,1,0.7,0.5
4,bottom,111,1,2.7,3.2,3.3,3.2,2.8,2.2,1.6,1.1,0.7
4,bottom,000,2,0.3,0.4,0.5,0.6,0.5,0.4,0.3,0.2,0.2
4,bottom,100,2,0.7,0.8,1,1.1,1,0.8,0.6,0.4,0.3
4,bottom,010,2,0.9,1.1,1.4,1.5,1.4,1.1,0.9,0.6,0.4
4,bottom,001,2,1,1.3,1.6,1.7,1.6,1.3,1,0.7,0.5
4,bottom,110,2,1.4,1.8,2.1,2.2,2,1.6,1.2,0.8,0.6
4,bottom,101,2,1.5,1.9,2.2,2.3,2.1,1.7,1.3,0.9,0.6
4,bottom,011,2,1.7,2.1,2.5,2.6,2.3,1.9,1.4,1,0.7
4,bottom,111,2,2.6,3.2,3.6,3.7,3.3,2.6,1.9,1.4,0.9
5,top,000,0,0.4,0.5,0.7,1,1.2,1.3,1.1,0.9,0.7
5,top,100,0,0.5,0.8,1.1,1.5,1.9,2,1.9,1.6,1.2
5,top,010,0,0.4,0.6,0.9,1.2,1.5,1.7,1.6,1.4,1.1
5,top,001,0,0.3,0.5,0.7,1,1.3,1.5,1.5,1.3,1.1
5,top,110,0,0.6,0.9,1.3,1.8,2.3,2.6,2.5,2.3,1.8
5,top,101,0,0.5,0.7,1,1.4,1.8,2.2,2.3,2.1,1.7
5,top,011,0,0.4,0.7,1,1.3,1.7,1.9,2,1.9,1.6
5,top,111,0,0.6,0.9,1.3,1.8,2.4,2.8,3,2.9,2.5
5,top,000,1,0.3,0.4,0.6,0.7,0.9,0.9,0.8,0.6,0.5
5,top,100,1,0.5,0.7,1,1.3,1.6,1.7,1.5,1.2,0.9
5,top,010,1,0.5,0.7,1,1.3,1.6,1.7,1.5,1.2,0.9
5,top,001,1,0.6,0.8,1.1,1.5,1.8,1.8,1.5,1.2,0.9
5,top,110,1,0.7,1.1,1.5,2,2.5,2.7,2.5,2.1,1.6
5,top,101,1,0.7,1,1.4,1.9,2.3,2.4,2.3,1.9,1.5
5,top,011,1,0.6,0.8,1.2,1.5,1.9,2.1,2.1,1.8,1.4
5,top,111,1,0.9,1.3,1.9,2.5,3.1,3.5,3.5,3.1,2.5
5,top,000,2,0.2,0.3,0.4,0.5,0.6,0.6,0.5,0.4,0.3
5,top,100,2,0.3,0.5,0.7,0.9,1.1,1.1,1,0.8,0.6
5,top,010,2,0.5,0.7,1,1.3,1.6,1.6,1.3,1,0.7
5,top,001,2,0.6,0.8,1.2,1.5,1.8,1.8,1.5,1.1,0.8
5,top,110,2,0.7,1,1.4,1.8,2.2,2.3,2.1,1.6,1.2
5,top,101,2,0.7,1.1,1.5,1.9,2.4,2.5,2.2,1.7,1.3
5,top,011,2,0.8,1.1,1.6,2.1,2.6,2.8,2.5,2,1.4
5,top,111,2,1.1,1.6,2.2,3,3.7,4,3.7,3,2.3
5,bottom,000,0,0.8,1.1,1.3,1.3,1.2,0.9,0.6,0.4,0.3
5,bottom,100,0,1.4,1.8,2.1,2.1,1.8,1.3,0.9,0.6,0.4
5,bottom,010,0,1.2,1.6,1.8,1.8,1.5,1.1,0.7,0.5,0.3
5,bottom,001,0,1.2,1.5,1.6,1.5,1.2,0.9,0.6,0.4,0.2
5,bottom,110,0,2.1,2.5,2.7,2.6,2.2,1.6,1.1,0.7,0.4
5,bottom,101,0,1.9,2.3,2.4,2.2,1.7,1.2,0.8,0.5,0.3
5,bottom,011,0,1.8,2.1,2.1,2,1.6,1.1,0.8,0.5,0.3
5,bottom,111,0,2.8,3.1,3.1,2.8,2.2,1.5,1,0.7,0.4
5,bottom,000,1,0.5,0.7,0.9,1,0.9,0.7,0.5,0.3,0.2
5,bottom,100,1,1.1,1.4,1.7,1.8,1.5,1.2,0.8,0.5,0.3
5,bottom,010,1,1.1,1.4,1.7,1.8,1.6,1.2,0.8,0.5,0.3
5,bottom,001,1,1,1.4,1.7,2,1.8,1.4,1,0.6,0.4
5,bottom,110,1,1.9,2.4,2.8,2.8,2.4,1.8,1.2,0.8,0.5
5,bottom,101,1,1.7,2.2,2.5,2.6,2.3,1.7,1.2,0.8,0.5
5,bottom,011,1,1.6,2,2.2,2.1,1.9,1.4,1,0.6,0.4
5,bottom,111,1,2.9,3.4,3.7,3.5,3,2.2,1.5,1,0.6
5,bottom,000,2,0.3,0.4,0.6,0.6,0.6,0.4,0.3,0.2,0.1
5,bottom,100,2,0.6,0.9,1.1,1.2,1.1,0.8,0.6,0.4,0.2
5,bottom,010,2,0.8,1.2,1.5,1.7,1.6,1.2,0.8,0.6,0.4
5,bottom,001,2,0.9,1.3,1.7,2,1.9,1.4,1,0.7,0.4
5,bottom,110,2,1.4,1.9,2.3,2.5,2.2,1.6,1.1,0.8,0.5
5,bottom,101,2,1.5,2,2.4,2.6,2.4,1.8,1.2,0.8,0.5
5,bottom,011,2,1.7,2.3,2.8,3,2.6,1.9,1.3,0.9,0.6
5,bottom,111,2,2.7,3.4,4,4.2,3.6,2.7,1.8,1.2,0.8
6,top,000,0,0.3,0.5,0.7,1,1.3,1.4,1.3,1,0.7
6,top,100,0,0.5,0.7,1.1,1.6,2.1,2.3,2.1,1.7,1.2
6,top,010,0,0.4,0.6,0.9,1.3,1.7,1.9,1.8,1.5,1.1
6,top,001,0,0.3,0.5,0.7,1,1.4,1.7,1.7,1.4,1.1
6,top,110,0,0.5,0.8,1.3,1.8,2.5,2.9,2.8,2.4,1.9
6,top,101,0,0.4,0.6,0.9,1.4,1.9,2.4,2.6,2.3,1.8
6,top,011,0,0.4,0.6,0.9,1.3,1.8,2.2,2.3,2.1,1.7
6,top,111,0,0.5,0.8,1.2,1.8,2.5,3.1,3.4,3.2,2.7
6,top,000,1,0.2,0.4,0.5,0.8,1,1.1,0.9,0.7,0.4
6,top,100,1,0.4,0.6,0.9,1.3,1.8,1.9,1.7,1.3,0.9
6,top,010,1,0.4,0.6,1,1.4,1.8,2,1.7,1.3,0.9
6,top,001,1,0.5,0.8,1.1,1.6,2,2.1,1.6,1.3,0.9
6,top,110,1,0.6,1,1.5,2.1,2.8,3.1,2.8,2.2,1.6
6,top,101,1,0.6,0.9,1.4,2,2.6,2.8,2.5,2.1,1.5
6,top,011,1,0.5,0.8,1.1,1.6,2.1,2.3,2.3,1.9,1.5
6,top,111,1,0.8,1.2,1.8,2.6,3.4,3.9,3.9,3.3,2.6
6,top,000,2,0.2,0.3,0.4,0.5,0.7,0.7,0.5,0.4,0.2
6,top,100,2,0.3,0.5,0.7,1,1.3,1.3,1.1,0.8,0.5
6,top,010,2,0.4,0.7,1,1.4,1.8,1.8,1.4,1,0.7
6,top,001,2,0.5,0.8,1.2,1.6,2.1,2.1,1.6,1.1,0.7
6,top,110,2,0.6,0.9,1.3,1.9,2.5,2.6,2.3,1.7,1.1
6,top,101,2,0.6,1,1.4,2,2.7,2.8,2.4,1.8,1.2
6,top,011,2,0.7,1,1.6,2.2,2.9,3.2,2.7,2,1.4
6,top,111,2,0.9,1.4,2.2,3.1,4.1,4.5,4.1,3.2,2.3
6,bottom,000,0,0.8,1.1,1.4,1.6,1.3,0.9,0.6,0.3,0.2
6,bottom,100,0,1.4,1.9,2.3,2.4,2,1.3,0.8,0.5,0.3
6,bottom,010,0,1.3,1.7,2,2,1.6,1.1,0.7,0.4,0.2
6,bottom,001,0,1.2,1.6,1.8,1.7,1.3,0.8,0.5,0.3,0.2
6,bottom,110,0,2.2,2.7,3.1,3,2.3,1.5,0.9,0.6,0.3
6,bottom,101,0,2,2.5,2.7,2.4,1.7,1.1,0.7,0.4,0.2
6,bottom,011,0,1.9,2.3,2.4,2.2,1.7,1.1,0.7,0.4,0.2
6,bottom,111,0,3,3.5,3.6,3.1,2.2,1.4,0.9,0.5,0.3
6,bottom,000,1,0.5,0.8,1,1.2,1,0.7,0.4,0.3,0.2
6,bottom,100,1,1,1.5,1.9,2.1,1.7,1.1,0.7,0.4,0.3
6,bottom,010,1,1.1,1.5,1.9,2.1,1.8,1.2,0.8,0.5,0.3
6,bottom,001,1,1,1.4,1.9,2.3,2.1,1.4,0.9,0.5,0.3
6,bottom,110,1,1.9,2.6,3.1,3.3,2.7,1.8,1.1,0.7,0.4
6,bottom,101,1,1.8,2.4,2.8,3,2.6,1.7,1.1,0.7,0.4
6,bottom,011,1,1.7,2.2,2.5,2.5,2.1,1.4,0.9,0.5,0.3
